,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T00:45:42.950001Z
1, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T00:47:00.825001Z
2, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T00:51:34.825001Z
3, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T02:32:31.125001Z
4, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T02:41:58.025001Z
5, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T04:54:28.400001Z
6, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T05:04:48.800001Z
7, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T07:06:24.000001Z
8, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T07:17:52.725001Z
9, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T07:42:10.475001Z
10, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T08:14:15.875001Z
11, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T09:26:16.400001Z
12, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T14:02:06.600001Z
13, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T14:54:45.750001Z
14, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T15:02:45.225001Z
15, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T15:11:09.275001Z
16, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T15:16:39.075001Z
17, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T15:24:22.625001Z
18, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T18:23:37.450001Z
19, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T19:39:49.400001Z
20, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T21:21:43.550001Z
21, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T23:34:21.075001Z
22, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,,2012-10-18T23:47:33.600001Z
23, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,2012-10-18T03:45:55.700001Z,
24, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,2012-10-18T03:47:41.725001Z,
25, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,2012-10-18T09:07:23.850001Z,
26, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,2012-10-18T10:28:12.425001Z,
27, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,2012-10-18T15:20:52.075001Z,
28, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,2012-10-18T15:38:35.225001Z,
29, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,2012-10-18T20:53:42.575001Z,
30, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-18T00:00:00.000001Z, , , , , ,2012-10-18T23:31:52.025001Z,
